datahora,dia,mes,ano,date,time,bt,mt,at,mat,total
2023-06-14T09:00:00+00:00,14,06,2023,2023-06-14,10:00,688086.13006,631507.3845,210546.6521,46809.8344,1576950.0010600002
2023-06-15T11:45:00+00:00,15,06,2023,2023-06-15,12:45,757202.345974,565107.8365,200751.4999,77418.8216,1600480.5039739998
2023-06-15T22:30:00+00:00,15,06,2023,2023-06-15,23:30,701634.291401,473686.119,221103.758,87028.5872,1483452.7556009998
2023-06-17T06:45:00+00:00,17,06,2023,2023-06-17,07:45,509347.570627,379141.6587,206565.8469,78822.1733,1173877.249527
2023-06-17T08:00:00+00:00,17,06,2023,2023-06-17,09:00,606041.521921,392717.6399,203460.6063,76003.4745,1278223.2426210002
2023-06-17T16:00:00+00:00,17,06,2023,2023-06-17,17:00,644268.032504,364815.3546,194875.7957,66340.8129,1270299.995704
2023-06-17T21:45:00+00:00,17,06,2023,2023-06-17,22:45,751879.225984,348037.6752,197913.5955,65388.7419,1363219.2385840002
2023-06-19T12:30:00+00:00,19,06,2023,2023-06-19,13:30,751072.85024,597903.1397,202730.9002,90986.3537,1642693.2438400004
2023-06-23T17:45:00+00:00,23,06,2023,2023-06-23,18:45,801141.484102,569608.7197,210651.2352,86521.5578,1667922.996802
2023-06-25T07:15:00+00:00,25,06,2023,2023-06-25,08:15,527118.580958,317483.4287,192769.3536,59608.3814,1096979.744658
2023-06-26T19:30:00+00:00,26,06,2023,2023-06-26,20:30,919638.33603,573191.9996,225266.7353,92910.6864,1811007.7573300002
2023-06-28T23:30:00+00:00,29,06,2023,2023-06-29,00:30,663432.353423,465663.1213,219380.8244,68154.2095,1416630.5086230002
2023-06-29T06:00:00+00:00,29,06,2023,2023-06-29,07:00,520737.43719,493379.9636,221063.6648,50744.1821,1285925.24769
2023-06-29T11:30:00+00:00,29,06,2023,2023-06-29,12:30,787059.842976,581538.5828,210721.609,54378.2168,1633698.2515760001
2023-06-30T21:00:00+00:00,30,06,2023,2023-06-30,22:00,839379.339021,505762.9747,224841.3333,87998.3478,1657981.9948210001
2023-07-01T21:30:00+00:00,01,07,2023,2023-07-01,22:30,816301.029352,373632.0429,202241.2615,86324.6771,1478499.010852
2023-07-03T04:30:00+00:00,03,07,2023,2023-07-03,05:30,510163.548015,366421.2977,206110.8472,65441.3075,1148137.0004150001
2023-07-03T07:30:00+00:00,03,07,2023,2023-07-03,08:30,655276.365762,596370.2398,222982.8703,46812.5165,1521441.992362
2023-07-04T10:30:00+00:00,04,07,2023,2023-07-04,11:30,747924.627197,626014.2352,208289.3006,73245.0884,1655473.251397
2023-07-04T11:00:00+00:00,04,07,2023,2023-07-04,12:00,766426.52115,614226.0478,205884.0716,76289.3509,1662825.9914499999
2023-07-04T23:30:00+00:00,05,07,2023,2023-07-05,00:30,634918.824277,458828.7927,219098.8146,84677.0566,1397523.488177
2023-07-05T22:15:00+00:00,05,07,2023,2023-07-05,23:15,750686.893059,489916.2003,218546.1268,59085.5162,1518234.736359
2023-07-05T23:15:00+00:00,06,07,2023,2023-07-06,00:15,652024.130037,459217.0957,222562.3474,88965.4331,1422769.0062370002
2023-07-08T21:15:00+00:00,08,07,2023,2023-07-08,22:15,787399.719376,362833.0036,193946.435,79161.3297,1423340.4876760002
2023-07-10T16:00:00+00:00,10,07,2023,2023-07-10,17:00,722637.642706,626081.8824,197498.7484,60959.981,1607178.2545059999
2023-07-15T02:30:00+00:00,15,07,2023,2023-07-15,03:30,532636.665693,397347.5609,214947.639,50489.1346,1195421.0001929998
